book,market,outcome,offered_prob,fair_prob,edge,reference_books
"4c","basketball|nba|oklahoma city thunder vs san antonio spurs|moneyline||full_game|na","oklahoma city thunder",0.4651,0.4675,0.0052,1
"4c","basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218","under",0.4975,0.5000,0.0050,1
