selection,bovada_american,4c_american,rebet_american,prophetx_american,book_count,best_book,implied_gap
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218|under",-110,101,,,2,4c,0.0263
"basketball|nba|oklahoma city thunder vs san antonio spurs|moneyline||full_game|na|oklahoma city thunder",105,115,,,2,4c,0.0227
"basketball|nba|cleveland cavaliers vs new york knicks|moneyline||full_game|na|new york knicks",115,122,,,2,4c,0.0147
"basketball|nba|cleveland cavaliers vs new york knicks|total||full_game|214|over",-110,-104,,,2,4c,0.0140
"basketball|nba|cleveland cavaliers vs new york knicks|total||full_game|214|under",-110,-104,,,2,4c,0.0140
"basketball|nba|oklahoma city thunder vs san antonio spurs|moneyline||full_game|na|san antonio spurs",-125,-119,,,2,4c,0.0122
"basketball|nba|cleveland cavaliers vs new york knicks|moneyline||full_game|na|cleveland cavaliers",-135,-130,,,2,4c,0.0093
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218|over",-110,-109,,,2,4c,0.0023
