classification,sport,league,event,market,player,period,side_a,line_a,book_a,odds_a,side_b,line_b,book_b,odds_b,combined_implied,reason
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2","4c","-103","oklahoma city thunder (-2.0)","-2","rebet","115","0.972505","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","1.5","4c","103","oklahoma city thunder (-1.5)","-1.5","rebet","108","0.973380","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","1","4c","106","oklahoma city thunder (-1.0)","-1","rebet","104","0.975633","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","1.5","4c","102","oklahoma city thunder (-1.5)","-1.5","rebet","108","0.975819","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2","4c","-106","oklahoma city thunder (-2.0)","-2","rebet","115","0.979679","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2.5","4c","-110","oklahoma city thunder (-2.5)","-2.5","rebet","118","0.982525","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","3","4c","-119","oklahoma city thunder (-3.0)","-3","rebet","127","0.983908","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2","4c","-108","oklahoma city thunder (-2.0)","-2","rebet","115","0.984347","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2.5","4c","-111","oklahoma city thunder (-2.5)","-2.5","rebet","118","0.984782","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","3","4c","-120","oklahoma city thunder (-3.0)","-3","rebet","127","0.985983","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2","4c","-109","oklahoma city thunder (-2.0)","-2","rebet","115","0.986647","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2.5","4c","-112","oklahoma city thunder (-2.5)","-2.5","rebet","118","0.987017","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2","4c","-111","oklahoma city thunder (-2.0)","-2","rebet","115","0.991183","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","1.5","4c","-105","oklahoma city thunder (-1.5)","-1.5","rebet","108","0.992964","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","3.5","4c","-131","oklahoma city thunder (-3.5)","-3.5","rebet","133","0.996284","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","0.5","4c","109","san antonio spurs (-0.5)","-0.5","rebet","-108","0.997700","Opposite sides on the same line."
"true_arb_candidate","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","3.5","4c","-132","oklahoma city thunder (-3.5)","-3.5","rebet","133","0.998150","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","0.5","4c","109","oklahoma city thunder (-0.5)","-0.5","rebet","-109","1.000000","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","3.5","4c","-133","oklahoma city thunder (-3.5)","-3.5","rebet","133","1.000000","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","2.5","4c","-119","oklahoma city thunder (-2.5)","-2.5","rebet","118","1.002095","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","0.5","4c","106","san antonio spurs (-0.5)","-0.5","rebet","-108","1.004668","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","0.5","4c","106","oklahoma city thunder (-0.5)","-0.5","rebet","-109","1.006968","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","total","","full_game","under","218.5","4c","-102","over","218.5","rebet","-103","1.012340","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","0","4c","110","san antonio spurs (0.0)","0","rebet","-116","1.013228","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","-0.5","4c","109","oklahoma city thunder (+0.5)","0.5","rebet","-115","1.013353","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","total","","full_game","under","218.5","4c","-103","over","218.5","rebet","-103","1.014778","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","0.5","4c","109","san antonio spurs (-0.5)","-0.5","rebet","-116","1.015506","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","spread","","full_game","oklahoma city thunder","0","4c","110","oklahoma city thunder (-0.0)","0","rebet","-118","1.017475","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder vs san antonio spurs","total","","full_game","under","218","4c","100","over","218","rebet","-109","1.021531","Opposite sides on the same line."
